Bulge+Disk Morphological Measurements & Photometry
Click to expand
Column Name	Description
flux_model_bulge_hsc-y	Bulge component model flux [microJy]
flux_model_bulge_hsc-nb0816	Bulge component model flux [microJy]
flux_model_bulge_hsc-nb0921	Bulge component model flux [microJy]
flux_model_bulge_hsc-nb1010	Bulge component model flux [microJy]
flux_model_bulge_uvista-y	Bulge component model flux [microJy]
flux_model_bulge_uvista-j	Bulge component model flux [microJy]
flux_model_bulge_uvista-h	Bulge component model flux [microJy]
flux_model_bulge_uvista-ks	Bulge component model flux [microJy]
flux_model_bulge_sc-ia484	Bulge component model flux [microJy]
flux_model_bulge_sc-ia527	Bulge component model flux [microJy]
flux_model_bulge_sc-ia624	Bulge component model flux [microJy]
flux_model_bulge_sc-ia679	Bulge component model flux [microJy]
flux_model_bulge_sc-ia738	Bulge component model flux [microJy]
flux_model_bulge_sc-ia767	Bulge component model flux [microJy]
flux_model_bulge_sc-ib427	Bulge component model flux [microJy]
flux_model_bulge_sc-ib505	Bulge component model flux [microJy]
flux_model_bulge_sc-ib574	Bulge component model flux [microJy]
flux_model_bulge_sc-ib709	Bulge component model flux [microJy]
flux_model_bulge_sc-ib827	Bulge component model flux [microJy]
flux_model_bulge_sc-nb711	Bulge component model flux [microJy]
flux_model_bulge_sc-nb816	Bulge component model flux [microJy]
flux_err_model_bulge_hst-f814w	Bulge component model flux error [microJy]
flux_err_model_bulge_f770w	Bulge component model flux error [microJy]
flux_err_model_bulge_cfht-u	Bulge component model flux error [microJy]
flux_err_model_bulge_hsc-g	Bulge component model flux error [microJy]
flux_err_model_bulge_hsc-r	Bulge component model flux error [microJy]
flux_err_model_bulge_hsc-i	Bulge component model flux error [microJy]
flux_err_model_bulge_hsc-z	Bulge component model flux error [microJy]
flux_err_model_bulge_hsc-y	Bulge component model flux error [microJy]
flux_err_model_bulge_hsc-nb0816	Bulge component model flux error [microJy]
flux_err_model_bulge_hsc-nb0921	Bulge component model flux error [microJy]
flux_err_model_bulge_hsc-nb1010	Bulge component model flux error [microJy]
flux_err_model_bulge_uvista-y	Bulge component model flux error [microJy]
flux_err_model_bulge_uvista-j	Bulge component model flux error [microJy]
flux_err_model_bulge_uvista-h	Bulge component model flux error [microJy]
flux_err_model_bulge_uvista-ks	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ia484	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ia527	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ia624	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ia679	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ia738	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ia767	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ib427	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ib505	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ib574	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ib709	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-ib827	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-nb711	Bulge component model flux error [microJy]
flux_err_model_bulge_sc-nb816	Bulge component model flux error [microJy]
flux_model_disk_hst-f814w	Disk component model flux [microJy]
flux_model_disk_f770w	Disk component model flux [microJy]
flux_model_disk_cfht-u	Disk component model flux [microJy]
flux_model_disk_hsc-g	Disk component model flux [microJy]
flux_model_disk_hsc-r	Disk component model flux [microJy]
