Photometry (PSF-homogenized Aperture and SE++ Model-Based)
Column Name	Description
flux_err-cal_model_sc-ia738	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ia767	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ib427	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ib505	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ib574	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ib709	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-ib827	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-nb711	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_sc-nb816	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_irac-ch1	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_irac-ch2	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_irac-ch3	Sersic model total flux uncertainty (calibrated) [microJy]
flux_err-cal_model_irac-ch4	Sersic model total flux uncertainty (calibrated) [microJy]
warn_flag	Warning flag. 0: good object, 1: hot pixel, 2: ground-space inconsistency, 3: ground-space inconsistency, 4,5,6: other artifacts
