 Non-PSF-homogenized Aperture Photometry
Click to expand
Column Name	Description
flux_err_aper_sc-ia624	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ia679	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ia738	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ia767	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ib427	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ib505	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ib574	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ib709	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ib827	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-nb711	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-nb816	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_irac-ch1	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_irac-ch2	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_irac-ch3	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_irac-ch4	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
